cell_type,target,source,value
CD16 NK,5min+,6hr+,95.9
CD16 NK,5min+,6hr-,4.1
CD16 NK,5min-,6hr+,0
CD16 NK,5min-,6hr-,0
CD16 NK,6hr+,24hr+,83.7
CD16 NK,6hr+,24hr-,12.2
CD16 NK,6hr-,24hr+,2
CD16 NK,6hr-,24hr-,2
CD16dim NK,5min+,6hr+,95.5
CD16dim NK,5min+,6hr-,4.5
CD16dim NK,5min-,6hr+,0
CD16dim NK,5min-,6hr-,0
CD16dim NK,6hr+,24hr+,87.7
CD16dim NK,6hr+,24hr-,7.9
CD16dim NK,6hr-,24hr+,2.7
CD16dim NK,6hr-,24hr-,1.7
CD56 NK,5min+,6hr+,31.5
CD56 NK,5min+,6hr-,68.1
CD56 NK,5min-,6hr+,0
CD56 NK,5min-,6hr-,0
CD56 NK,6hr+,24hr+,9.6
CD56 NK,6hr+,24hr-,22
CD56 NK,6hr-,24hr+,22
CD56 NK,6hr-,24hr-,46.5
DN NK,5min+,6hr+,88.6
DN NK,5min+,6hr-,11.4
DN NK,5min-,6hr+,0
DN NK,5min-,6hr-,0
DN NK,6hr+,24hr+,71.8
DN NK,6hr+,24hr-,16.9
DN NK,6hr-,24hr+,5.1
DN NK,6hr-,24hr-,6.2
