Group,Animal,Cell_Type,ivas_percentage
AxLN Mean,DGA0 AxLN,T Cell,0.6
AxLN Mean,DGA0 AxLN,CD16 NK,36.43
AxLN Mean,DGA0 AxLN,CD16 NK,23.63
AxLN Mean,DGA0 AxLN,CD56 NK,0.2
AxLN Mean,DGA0 AxLN,CD56 NK,0.59
AxLN Mean,DGA0 AxLN,DN NK,2.02
AxLN Mean,DGA0 AxLN,DN NK,1.2
AxLN Mean,DGF5 AxLN,T Cell,0.39
AxLN Mean,DGF5 AxLN,CD16 NK,27.3
AxLN Mean,DGF5 AxLN,CD16 NK,28.9
AxLN Mean,DGF5 AxLN,CD56 NK,0.55
AxLN Mean,DGF5 AxLN,CD56 NK,0.138
AxLN Mean,DGF5 AxLN,DN NK,0.46
AxLN Mean,DGF5 AxLN,DN NK,0.33
AxLN Mean,G45T AxLN,T Cell,0.11
AxLN Mean,G45T AxLN,CD16 NK,4.87
AxLN Mean,G45T AxLN,CD16 NK,1.29
AxLN Mean,G45T AxLN,CD56 NK,0.42
AxLN Mean,G45T AxLN,CD56 NK,0.3
AxLN Mean,G45T AxLN,DN NK,0.544
AxLN Mean,G45T AxLN,DN NK,0.434
AxLN Mean,TID AxLN,T Cell,0.35
AxLN Mean,TID AxLN,CD16 NK,13
AxLN Mean,TID AxLN,CD16 NK,17.5
AxLN Mean,TID AxLN,CD56 NK,0.49
AxLN Mean,TID AxLN,CD56 NK,0.42
AxLN Mean,TID AxLN,DN NK,0.32
AxLN Mean,TID AxLN,DN NK,0.72
HAXR AxLN,HAXR AxLN,T Cell,0.4
HAXR AxLN,HAXR AxLN,CD16 NK,78.6
HAXR AxLN,HAXR AxLN,CD16dim NK,56.6
HAXR AxLN,HAXR AxLN,CD56 NK,1.43
HAXR AxLN,HAXR AxLN,DN NK,0.27
K628 AxLN,K628 AxLN,T Cell,2.2
K628 AxLN,K628 AxLN,T Cell,1.2
K628 AxLN,K628 AxLN,CD16 NK,66.7
K628 AxLN,K628 AxLN,CD16dim NK,41.7
K628 AxLN,K628 AxLN,CD56 NK,10.2
K628 AxLN,K628 AxLN,CD56 NK,3.9
K628 AxLN,K628 AxLN,DN NK,8.9
K628 AxLN,K628 AxLN,DN NK,6.2
