Animal,Tissue,Cell_Type,IVAS_pos,IVAS_neg,RI,TR
DGA0,Mes_LN,Lymphocyte,0.72,99.12,3.42,95.7
DGA0,Mes_LN,CD16 NK,33.36,66.62,2.82,63.8
DGA0,Mes_LN,CD56 NK,1,98.95,9.55,89.4
DGA0,Mes_LN,DN NK,0.92,99.11,3.11,96
DGA0,Ax_LN,Lymphocyte,0.466,99.58,6.48,93.1
DGA0,Ax_LN,CD16 NK,36.43,63.57,2.47,61.1
DGA0,Ax_LN,CD56 NK,0.2,99.81,8.01,91.8
DGA0,Ax_LN,DN NK,2.02,97.81,3.31,94.5
DGF5,Ax_LN,Lymphocyte,0.439,99.53,5.23,94.3
DGF5,Ax_LN,CD16 NK,27.3,72.76,11.36,61.4
DGF5,Ax_LN,CD56 NK,0.55,99.43,8.13,91.3
DGF5,Ax_LN,DN NK,0.46,99.53,0.93,98.6
G45T,Ax_LN,Lymphocyte,0.14788,99.87,23.97,75.9
G45T,Ax_LN,CD16 NK,4.87,95.1,4,91.1
G45T,Ax_LN,CD56 NK,0.42,99.55,13.45,86.1
G45T,Ax_LN,DN NK,0.544,99.41,2.81,96.6
G45T,Ing_LN,Lymphocyte,0.10359,99.87,22.17,77.7
G45T,Ing_LN,CD16 NK,2.59,97.41,8.51,88.9
G45T,Ing_LN,CD56 NK,0.26,99.75,13.25,86.5
G45T,Ing_LN,DN NK,0.731,99.23,3.53,95.7
