Animal,Cell_Type,X_pos_out_of_5min_neg,entry_rate
G45T AxLN -24hr,T Cell,5.29,0.220416667
G45T AxLN -24hr,CD16 NK,3,0.125
G45T AxLN -24hr,CD16 NK,5.69,0.237083333
G45T AxLN -24hr,CD56 NK,7.51,0.312916667
G45T AxLN -24hr,CD56 NK,4.81,0.200416667
G45T AxLN -24hr,DN NK,1.83,0.07625
G45T AxLN -24hr,DN NK,1.21,0.050416667
TID AxLN -24hr,T Cell,4.01,0.167083333
TID AxLN -24hr,T Cell,6.1,0.254166667
TID AxLN -24hr,CD16 NK,15.8,0.658333333
TID AxLN -24hr,CD16 NK,22.5,0.9375
TID AxLN -24hr,CD56 NK,3.93,0.16375
TID AxLN -24hr,CD56 NK,7.38,0.3075
TID AxLN -24hr,DN NK,3.53,0.147083333
TID AxLN -24hr,DN NK,5.1,0.2125
HAXR AxLN -24hr,T Cell,3.71,0.154583333
HAXR AxLN -24hr,CD16 NK,33.3,1.3875
HAXR AxLN -24hr,CD16dim NK,10,0.416666667
HAXR AxLN -24hr,CD56 NK,9.2,0.383333333
HAXR AxLN -24hr,DN NK,3.53,0.147083333
K628 AxLN -24hr,T Cell,17.3,0.720833333
K628 AxLN -24hr,T Cell,17.3,0.720833333
K628 AxLN -24hr,CD16 NK,0,0
K628 AxLN -24hr,CD16dim NK,28.6,1.191666667
K628 AxLN -24hr,CD56 NK,37.5,1.5625
K628 AxLN -24hr,CD56 NK,41.2,1.716666667
K628 AxLN -24hr,DN NK,20.3,0.845833333
K628 AxLN -24hr,DN NK,32.1,1.3375
