Group,Animal,Cell_Type,tr_percentage
AxLN Mean,DGA0 AxLN,T Cell,89.3
AxLN Mean,DGA0 AxLN,CD16 NK,96.11451943
AxLN Mean,DGA0 AxLN,CD16 NK,90.5
AxLN Mean,DGA0 AxLN,CD56 NK,91.97475203
AxLN Mean,DGA0 AxLN,CD56 NK,93.4
AxLN Mean,DGA0 AxLN,DN NK,96.61588795
AxLN Mean,DGA0 AxLN,DN NK,95.9
AxLN Mean,DGF5 AxLN,T Cell,91.9
AxLN Mean,DGF5 AxLN,CD16 NK,84.38702584
AxLN Mean,DGF5 AxLN,CD16 NK,100
AxLN Mean,DGF5 AxLN,CD56 NK,91.82339334
AxLN Mean,DGF5 AxLN,CD56 NK,93.1
AxLN Mean,DGF5 AxLN,DN NK,99.06560836
AxLN Mean,DGF5 AxLN,DN NK,99.1
AxLN Mean,G45T AxLN,T Cell,82.5
AxLN Mean,G45T AxLN,CD16 NK,95.79390116
AxLN Mean,G45T AxLN,CD16 NK,93.5
AxLN Mean,G45T AxLN,CD56 NK,86.48920141
AxLN Mean,G45T AxLN,CD56 NK,90.1
AxLN Mean,G45T AxLN,DN NK,97.1733226
AxLN Mean,G45T AxLN,DN NK,97.6
HAXR AxLN,HAXR AxLN,T Cell,83.6
HAXR AxLN,HAXR AxLN,CD16 NK,33.3
HAXR AxLN,HAXR AxLN,CD16dim NK,60
HAXR AxLN,HAXR AxLN,CD56 NK,74.5
HAXR AxLN,HAXR AxLN,DN NK,93.7
K628 AxLN,K628 AxLN,T Cell,79.8055
K628 AxLN,K628 AxLN,T Cell,82.9794
K628 AxLN,K628 AxLN,CD16 NK,100
K628 AxLN,K628 AxLN,CD16dim NK,42.8881
K628 AxLN,K628 AxLN,CD56 NK,56.303
K628 AxLN,K628 AxLN,CD56 NK,53.181
K628 AxLN,K628 AxLN,DN NK,76.2963
K628 AxLN,K628 AxLN,DN NK,65.8498
