Animal,Cell_Type,percentage
G45T 24hr,T Cell,5.2059
G45T 24hr,CD16 NK,94.8147
G45T 24hr,CD16 NK,89.2769
G45T 24hr,CD56 NK,8.4091
G45T 24hr,CD56 NK,3.4888
G45T 24hr,DN NK,64.5491
G45T 24hr,DN NK,58.759
G45T 48hr,T Cell,2.9
G45T 48hr,CD16 NK,93.3
G45T 48hr,CD16 NK,82.8
G45T 48hr,CD56 NK,4.78
G45T 48hr,CD56 NK,1.55
G45T 48hr,DN NK,58.7
G45T 48hr,DN NK,45.9
TID 24hr,T Cell,6.8354
TID 24hr,CD16 NK,56.7168
TID 24hr,CD16 NK,58.4355
TID 24hr,CD56 NK,5.4384
TID 24hr,CD56 NK,5.7534
TID 24hr,DN NK,31.2134
TID 24hr,DN NK,32.0864
TID 48hr,T Cell,3.6
TID 48hr,CD16 NK,45.1
TID 48hr,CD16 NK,50.1
TID 48hr,CD56 NK,1.6
TID 48hr,CD56 NK,2.4
TID 48hr,DN NK,19.2
TID 48hr,DN NK,22.4
HAXR 24hr,T Cell,18.6472
HAXR 24hr,T Cell,17.69
HAXR 24hr,CD16 NK,88.6002
HAXR 24hr,CD16 NK,84.1806
HAXR 24hr,CD16dim NK,85.6251
HAXR 24hr,CD16dim NK,82.3884
HAXR 24hr,CD56 NK,5.6277
HAXR 24hr,CD56 NK,10.9668
HAXR 24hr,DN NK,79.23
HAXR 24hr,DN NK,77.8464
HAXR 48hr,T Cell,12.7
HAXR 48hr,T Cell,12.8
HAXR 48hr,CD16 NK,74.2
HAXR 48hr,CD16 NK,66.3
HAXR 48hr,CD16dim NK,77
HAXR 48hr,CD16dim NK,74.2
HAXR 48hr,CD56 NK,2.8
HAXR 48hr,CD56 NK,9.6
HAXR 48hr,DN NK,75.4
HAXR 48hr,DN NK,72.2
K628 24hr,T Cell,10.1248
K628 24hr,T Cell,6.94
K628 24hr,CD16 NK,83.6248
K628 24hr,CD16 NK,55.5625
K628 24hr,CD16dim NK,87.669
K628 24hr,CD16dim NK,76.0886
K628 24hr,CD56 NK,9.135
K628 24hr,CD56 NK,8.2082
K628 24hr,DN NK,71.766
K628 24hr,DN NK,69.6649
