Animal,Cell_Type,percentage
DGA0 6hr,T Cell,33.3
DGA0 6hr,CD16 NK,52.8
DGA0 6hr,CD16 NK,59.9
DGA0 6hr,CD56 NK,3.99
DGA0 6hr,CD56 NK,4.15
DGA0 6hr,DN NK,56.7
DGA0 6hr,DN NK,51.6
DGF5 6hr,T Cell,21.1
DGF5 6hr,CD16 NK,98.3
DGF5 6hr,CD16 NK,93.7
DGF5 6hr,CD56 NK,47.6
DGF5 6hr,CD56 NK,46.2
DGF5 6hr,DN NK,80.8
DGF5 6hr,DN NK,88.6
G45T 6hr,T Cell,20.2
G45T 6hr,CD16 NK,95.1
G45T 6hr,CD16 NK,86.9
G45T 6hr,CD56 NK,28.3
G45T 6hr,CD56 NK,17.8
G45T 6hr,DN NK,70.7
G45T 6hr,DN NK,66.2
G45T 48hr,T Cell,2.9
G45T 48hr,CD16 NK,93.3
G45T 48hr,CD16 NK,82.8
G45T 48hr,CD56 NK,4.78
G45T 48hr,CD56 NK,1.55
G45T 48hr,DN NK,58.7
G45T 48hr,DN NK,45.9
