Animal,Cell_Type,percentage
HAXR 6hr,T Cell,32.6
HAXR 6hr,T Cell,30.5
HAXR 6hr,CD16 NK,96.2
HAXR 6hr,CD16 NK,91.8
HAXR 6hr,CD16dim NK,89.1
HAXR 6hr,CD16dim NK,85.2
HAXR 6hr,CD56 NK,16.9
HAXR 6hr,CD56 NK,24.7
HAXR 6hr,DN NK,83.4
HAXR 6hr,DN NK,84.1
HAXR 48hr,T Cell,12.7
HAXR 48hr,T Cell,12.8
HAXR 48hr,CD16 NK,72.4
HAXR 48hr,CD16 NK,66.3
HAXR 48hr,CD16dim NK,77
HAXR 48hr,CD16dim NK,74.2
HAXR 48hr,CD56 NK,2.8
HAXR 48hr,CD56 NK,9.6
HAXR 48hr,DN NK,75.4
HAXR 48hr,DN NK,72.2
G45T 6hr,T Cell,20.2
G45T 6hr,CD16 NK,95.1
G45T 6hr,CD16 NK,86.9
G45T 6hr,CD56 NK,28.3
G45T 6hr,CD56 NK,17.8
G45T 6hr,DN NK,70.7
G45T 6hr,DN NK,66.2
G45T 48hr,T Cell,2.9
G45T 48hr,CD16 NK,93.3
G45T 48hr,CD16 NK,82.8
G45T 48hr,CD56 NK,4.78
G45T 48hr,CD56 NK,1.55
G45T 48hr,DN NK,58.7
G45T 48hr,DN NK,45.9
