Animal,Subset,Cell_Type,percentage
G45T AxLN,RI,CD16 NK,0
G45T AxLN,TR,CD16 NK,23.2
G45T AxLN,RI,CD56 NK,0
G45T AxLN,TR,CD56 NK,2
G45T AxLN,RI,DN NK,2.4
G45T AxLN,TR,DN NK,13.7
DGA0 AxLN,RI,CD16 NK,0
DGA0 AxLN,TR,CD16 NK,0
DGA0 AxLN,RI,CD56 NK,0
DGA0 AxLN,TR,CD56 NK,0
DGA0 AxLN,RI,DN NK,11.1
DGA0 AxLN,TR,DN NK,0.47
DGF5 AxLN,RI,CD16 NK,0
DGF5 AxLN,TR,CD16 NK,0
DGF5 AxLN,RI,CD56 NK,0
DGF5 AxLN,TR,CD56 NK,1.6
DGF5 AxLN,RI,DN NK,0
DGF5 AxLN,TR,DN NK,3.6
G45T IngLN,RI,CD16 NK,0
G45T IngLN,TR,CD16 NK,11.2
G45T IngLN,RI,CD56 NK,0
G45T IngLN,TR,CD56 NK,2.4
G45T IngLN,RI,DN NK,1.2
G45T IngLN,TR,DN NK,6.7
DGA0 MesLN,RI,CD16 NK,0
DGA0 MesLN,TR,CD16 NK,1.2
DGA0 MesLN,RI,CD56 NK,0
DGA0 MesLN,TR,CD56 NK,4.4
DGA0 MesLN,RI,DN NK,14.3
DGA0 MesLN,TR,DN NK,1.2
