Animal,Subset,Cell_Type,percentage
G45T AxLN,RI,CD16 NK,76.5
G45T AxLN,TR,CD16 NK,98.2
G45T AxLN,RI,CD56 NK,19.6
G45T AxLN,TR,CD56 NK,32
G45T AxLN,RI,DN NK,39.1
G45T AxLN,TR,DN NK,89.5
DGA0 AxLN,RI,CD16 NK,50
DGA0 AxLN,TR,CD16 NK,82.8
DGA0 AxLN,RI,CD56 NK,0
DGA0 AxLN,TR,CD56 NK,15.4
DGA0 AxLN,RI,DN NK,33.3
DGA0 AxLN,TR,DN NK,67.7
DGF5 AxLN,RI,CD56 NK,44.4
DGF5 AxLN,TR,CD56 NK,46.5
DGF5 AxLN,RI,DN NK,50
DGF5 AxLN,TR,DN NK,86.3
G45T IngLN,RI,CD16 NK,82.7
G45T IngLN,TR,CD16 NK,97.7
G45T IngLN,RI,CD56 NK,34.3
G45T IngLN,TR,CD56 NK,51.3
G45T IngLN,RI,DN NK,53.1
G45T IngLN,TR,DN NK,91.5
DGA0 MesLN,RI,CD16 NK,20
DGA0 MesLN,TR,CD16 NK,50.9
DGA0 MesLN,RI,CD56 NK,21.1
DGA0 MesLN,TR,CD56 NK,28
DGA0 MesLN,RI,DN NK,27.8
DGA0 MesLN,TR,DN NK,42.4
