Animal,Subset,Cell_Type,percentage
G45T AxLN,RI,CD16 NK,41.2
G45T AxLN,TR,CD16 NK,68.4
G45T AxLN,RI,CD56 NK,66
G45T AxLN,TR,CD56 NK,69.8
G45T AxLN,RI,DN NK,66.4
G45T AxLN,TR,DN NK,56.7
DGA0 AxLN,RI,CD16 NK,50
DGA0 AxLN,TR,CD16 NK,68.7
DGA0 AxLN,RI,CD56 NK,56.1
DGA0 AxLN,TR,CD56 NK,48.7
DGA0 AxLN,RI,DN NK,33.3
DGA0 AxLN,TR,DN NK,46.5
DGF5 AxLN,RI,CD56 NK,60.6
DGF5 AxLN,TR,CD56 NK,65.5
DGF5 AxLN,RI,DN NK,62.5
DGF5 AxLN,TR,DN NK,64.3
G45T IngLN,RI,CD16 NK,53.1
G45T IngLN,TR,CD16 NK,80.5
G45T IngLN,RI,CD56 NK,70
G45T IngLN,TR,CD56 NK,72.7
G45T IngLN,RI,DN NK,75.1
G45T IngLN,TR,DN NK,72.6
DGA0 MesLN,RI,CD16 NK,60
DGA0 MesLN,TR,CD16 NK,63.9
DGA0 MesLN,RI,CD56 NK,57.9
DGA0 MesLN,TR,CD56 NK,49.7
DGA0 MesLN,RI,DN NK,77.8
DGA0 MesLN,TR,DN NK,66
