Marker,Animal,Subset,Cell_Type,percentage
CD49a,G45T AxLN,RI,CD16 NK,0
CD49a,G45T AxLN,TR,CD16 NK,23.2
CD49a,G45T AxLN,RI,CD56 NK,0
CD49a,G45T AxLN,TR,CD56 NK,2
CD49a,G45T AxLN,RI,DN NK,2.4
CD49a,G45T AxLN,TR,DN NK,13.7
CD49a,DGA0 AxLN,RI,CD16 NK,0
CD49a,DGA0 AxLN,TR,CD16 NK,0
CD49a,DGA0 AxLN,RI,CD56 NK,0
CD49a,DGA0 AxLN,TR,CD56 NK,0
CD49a,DGA0 AxLN,RI,DN NK,11.1
CD49a,DGA0 AxLN,TR,DN NK,0.47
CD49a,DGF5 AxLN,RI,CD16 NK,0
CD49a,DGF5 AxLN,TR,CD16 NK,0
CD49a,DGF5 AxLN,RI,CD56 NK,0
CD49a,DGF5 AxLN,TR,CD56 NK,1.6
CD49a,DGF5 AxLN,RI,DN NK,0
CD49a,DGF5 AxLN,TR,DN NK,3.6
CD49a,TID AxLN,RI,CD16 NK,0
CD49a,TID AxLN,TR,CD16 NK,0
CD49a,TID AxLN,RI,CD56 NK,0
CD49a,TID AxLN,TR,CD56 NK,0
CD49a,TID AxLN,RI,DN NK,0
CD49a,TID AxLN,TR,DN NK,0
CD161,G45T AxLN,RI,CD16 NK,71.4
CD161,G45T AxLN,TR,CD16 NK,97.8
CD161,G45T AxLN,RI,CD56 NK,79.4
CD161,G45T AxLN,TR,CD56 NK,60.8
CD161,G45T AxLN,RI,DN NK,74.4
CD161,G45T AxLN,TR,DN NK,94.3
CD161,DGA0 AxLN,RI,CD16 NK,50
CD161,DGA0 AxLN,TR,CD16 NK,91.2
CD161,DGA0 AxLN,RI,CD56 NK,44.4
CD161,DGA0 AxLN,TR,CD56 NK,48
CD161,DGA0 AxLN,RI,DN NK,88.9
CD161,DGA0 AxLN,TR,DN NK,95.3
CD161,DGF5 AxLN,RI,CD16 NK,100
CD161,DGF5 AxLN,TR,CD16 NK,96.3
CD161,DGF5 AxLN,RI,CD56 NK,90.9
CD161,DGF5 AxLN,TR,CD56 NK,91.7
CD161,DGF5 AxLN,RI,DN NK,100
CD161,DGF5 AxLN,TR,DN NK,95
CD161,TID AxLN,RI,CD16 NK,3.2
CD161,TID AxLN,TR,CD16 NK,49
CD161,TID AxLN,RI,CD56 NK,81.4
CD161,TID AxLN,TR,CD56 NK,73.9
CD161,TID AxLN,RI,DN NK,90.5
CD161,TID AxLN,TR,DN NK,92.2
NKp46,G45T AxLN,RI,CD16 NK,71.4
NKp46,G45T AxLN,TR,CD16 NK,91.2
NKp46,G45T AxLN,RI,CD56 NK,78.4
NKp46,G45T AxLN,TR,CD56 NK,78.1
NKp46,G45T AxLN,RI,DN NK,82.9
NKp46,G45T AxLN,TR,DN NK,76.5
NKp46,DGA0 AxLN,RI,CD16 NK,83.3
NKp46,DGA0 AxLN,TR,CD16 NK,87.7
NKp46,DGA0 AxLN,RI,CD56 NK,100
NKp46,DGA0 AxLN,TR,CD56 NK,96.9
NKp46,DGA0 AxLN,RI,DN NK,88.9
NKp46,DGA0 AxLN,TR,DN NK,75.6
NKp46,DGF5 AxLN,RI,CD16 NK,60
NKp46,DGF5 AxLN,TR,CD16 NK,18.5
NKp46,DGF5 AxLN,RI,CD56 NK,50
NKp46,DGF5 AxLN,TR,CD56 NK,45.1
NKp46,DGF5 AxLN,RI,DN NK,25
NKp46,DGF5 AxLN,TR,DN NK,15.2
NKp46,TID AxLN,RI,CD16 NK,87.1
NKp46,TID AxLN,TR,CD16 NK,42.9
NKp46,TID AxLN,RI,CD56 NK,76.4
NKp46,TID AxLN,TR,CD56 NK,55.4
NKp46,TID AxLN,RI,DN NK,41.4
NKp46,TID AxLN,TR,DN NK,19.5
CCR7,G45T AxLN,RI,CD16 NK,23.5
CCR7,G45T AxLN,TR,CD16 NK,12
CCR7,G45T AxLN,RI,CD56 NK,44.3
CCR7,G45T AxLN,TR,CD56 NK,28
CCR7,G45T AxLN,RI,DN NK,34.5
CCR7,G45T AxLN,TR,DN NK,18.8
CCR7,DGA0 AxLN,RI,CD16 NK,0
CCR7,DGA0 AxLN,TR,CD16 NK,1
CCR7,DGA0 AxLN,RI,CD56 NK,0
CCR7,DGA0 AxLN,TR,CD56 NK,0.6
CCR7,DGA0 AxLN,RI,DN NK,0
CCR7,DGA0 AxLN,TR,DN NK,0.2
CCR7,DGF5 AxLN,RI,CD56 NK,96
CCR7,DGF5 AxLN,TR,CD56 NK,90
CCR7,DGF5 AxLN,RI,DN NK,100
CCR7,DGF5 AxLN,TR,DN NK,84.6
CCR7,TID AxLN,RI,CD16 NK,16.7
CCR7,TID AxLN,TR,CD16 NK,0
CCR7,TID AxLN,RI,CD56 NK,3.12
CCR7,TID AxLN,TR,CD56 NK,0.87
CCR7,TID AxLN,RI,DN NK,0
