cell_type,target,source,value
CD16 NK,5min+,6hr+,82
CD16 NK,5min+,6hr-,18
CD16 NK,5min-,6hr+,0
CD16 NK,5min-,6hr-,0
CD16 NK,6hr+,24hr+,58.1
CD16 NK,6hr+,24hr-,23.7
CD16 NK,6hr-,24hr+,9.9
CD16 NK,6hr-,24hr-,8.3
CD16 NK,24hr+,48hr+,57.8
CD16 NK,24hr+,48hr-,10.1
CD16 NK,24hr-,48hr+,22.6
CD16 NK,24hr-,48hr-,9.5
CD56 NK,5min+,6hr+,27
CD56 NK,5min+,6hr-,73
CD56 NK,5min-,6hr+,0
CD56 NK,5min-,6hr-,0
CD56 NK,6hr+,24hr+,9.9
CD56 NK,6hr+,24hr-,17.1
CD56 NK,6hr-,24hr+,11.3
CD56 NK,6hr-,24hr-,61.8
CD56 NK,24hr+,48hr+,8.8
CD56 NK,24hr+,48hr-,12.3
CD56 NK,24hr-,48hr+,15.6
CD56 NK,24hr-,48hr-,63.2
DN NK,5min+,6hr+,60
DN NK,5min+,6hr-,40
DN NK,5min-,6hr+,0
DN NK,5min-,6hr-,0
DN NK,6hr+,24hr+,32
DN NK,6hr+,24hr-,28
DN NK,6hr-,24hr+,14.8
DN NK,6hr-,24hr-,25.2
DN NK,24hr+,48hr+,30.7
DN NK,24hr+,48hr-,16.1
DN NK,24hr-,48hr+,24.4
DN NK,24hr-,48hr-,28.8
